,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,04/02,8,Economic,Local,SOLR,0.0,
1,04/02,8,Economic,System,SOLR,320.0,636.0
2,04/02,8,Economic,System,WIND,56.0,105.0
3,04/02,9,Economic,Local,SOLR,45.0,
4,04/02,9,Economic,Local,WIND,0.0,
5,04/02,9,Economic,System,SOLR,951.0,1484.0
6,04/02,9,Economic,System,WIND,10.0,29.0
7,04/02,10,Economic,Local,SOLR,2.0,2.0
8,04/02,10,Economic,System,SOLR,902.0,1090.0
9,04/02,10,Economic,System,WIND,1.0,2.0
10,04/02,11,Economic,Local,SOLR,4.0,4.0
11,04/02,11,Economic,System,SOLR,1093.0,1403.0
12,04/02,11,Economic,System,WIND,0.0,0.0
13,04/02,12,Economic,Local,SOLR,111.0,7.0
14,04/02,12,Economic,Local,WIND,0.0,
15,04/02,12,Economic,System,SOLR,1170.0,1382.0
16,04/02,12,Economic,System,WIND,0.0,0.0
17,04/02,13,Economic,Local,SOLR,137.0,29.0
18,04/02,13,Economic,Local,WIND,0.0,
19,04/02,13,Economic,System,SOLR,1245.0,1494.0
20,04/02,13,Economic,System,WIND,0.0,0.0
21,04/02,13,SelfSchCut,Local,SOLR,2.0,3.0
22,04/02,14,Economic,Local,SOLR,651.0,1541.0
23,04/02,14,Economic,Local,WIND,5.0,13.0
24,04/02,14,Economic,System,SOLR,867.0,
25,04/02,14,Economic,System,WIND,4.0,
26,04/02,14,SelfSchCut,Local,SOLR,3.0,3.0
27,04/02,15,Economic,Local,SOLR,24.0,20.0
28,04/02,15,Economic,System,SOLR,1421.0,1566.0
29,04/02,15,Economic,System,WIND,10,25.0
30,04/02,15,SelfSchCut,Local,SOLR,4,4.0
31,04/02,16,Economic,Local,SOLR,353,20.0
32,04/02,16,Economic,Local,WIND,1,
33,04/02,16,Economic,System,SOLR,1168,1658.0
34,04/02,16,Economic,System,WIND,7,8.0
35,04/02,16,SelfSchCut,Local,SOLR,4,4.0
36,04/02,17,Economic,Local,SOLR,118,18.0
37,04/02,17,Economic,Local,WIND,0,
38,04/02,17,Economic,System,SOLR,1176,1656.0
39,04/02,17,Economic,System,WIND,23,147.0
40,04/02,17,SelfSchCut,Local,SOLR,2,4.0
41,04/02,18,Economic,Local,SOLR,74,790.0
42,04/02,18,Economic,Local,WIND,0,1.0
43,04/02,18,Economic,System,SOLR,136,
44,04/02,18,Economic,System,WIND,0,
45,04/02,18,SelfSchCut,Local,SOLR,5,14.0
46,04/02,19,Economic,Local,SOLR,1,6.0
