,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,12/24,2,Economic,Local,WIND,9,55.0
1,12/24,3,Economic,Local,WIND,14,81.0
2,12/24,4,Economic,System,WIND,21,149.0
3,12/24,10,Economic,System,SOLR,0,2.0
4,12/24,11,Economic,System,SOLR,3,33.0
5,12/24,12,Economic,System,SOLR,0,1.0
6,12/24,12,Economic,System,WIND,8,79.0
7,12/24,13,Economic,Local,WIND,2,14.0
8,12/24,14,Economic,Local,WIND,1,
9,12/24,14,Economic,System,SOLR,0,2.0
10,12/24,14,Economic,System,WIND,2,20.0
11,12/24,15,Economic,System,SOLR,5,29.0
12,12/24,15,Economic,System,WIND,0,
13,12/24,16,Economic,System,SOLR,0,2.0
