,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,02/26,7,Economic,System,SOLR,0,0
1,02/26,8,Economic,System,SOLR,0,5
2,02/26,9,Economic,System,SOLR,121,420
3,02/26,9,Economic,System,WIND,23,40
4,02/26,10,Economic,System,SOLR,257,591
5,02/26,10,Economic,System,WIND,29,26
6,02/26,11,Economic,System,SOLR,495,893
7,02/26,11,Economic,System,WIND,24,22
8,02/26,12,Economic,System,SOLR,409,724
9,02/26,12,Economic,System,WIND,32,34
10,02/26,13,Economic,System,SOLR,201,480
11,02/26,13,Economic,System,WIND,27,28
12,02/26,14,Economic,System,SOLR,60,526
13,02/26,14,Economic,System,WIND,6,26
14,02/26,16,Economic,System,SOLR,6,17
15,02/26,16,Economic,System,WIND,15,77
16,02/26,17,Economic,System,SOLR,35,315
17,02/26,17,Economic,System,WIND,28,95
18,02/26,18,Economic,System,SOLR,0,1
