,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,01/11,1,Economic,System,WIND,13,89.0
1,01/11,2,Economic,System,WIND,210,478.0
2,01/11,3,Economic,Local,WIND,11,23.0
3,01/11,3,Economic,System,WIND,106,326.0
4,01/11,4,Economic,Local,WIND,9,17.0
5,01/11,5,Economic,Local,WIND,1,11.0
6,01/11,6,Economic,Local,WIND,1,12.0
7,01/11,9,Economic,System,SOLR,73,476.0
8,01/11,9,Economic,System,WIND,42,160.0
9,01/11,10,Economic,System,SOLR,339,715.0
10,01/11,10,Economic,System,WIND,117,346.0
11,01/11,11,Economic,Local,SOLR,5,3.0
12,01/11,11,Economic,System,SOLR,299,670.0
13,01/11,11,Economic,System,WIND,136,138.0
14,01/11,12,Economic,Local,SOLR,12,16.0
15,01/11,12,Economic,System,SOLR,427,742.0
16,01/11,12,Economic,System,WIND,132,131.0
17,01/11,12,SelfSchCut,Local,SOLR,1,
18,01/11,13,Economic,Local,SOLR,15,17.0
19,01/11,13,Economic,System,SOLR,52,241.0
20,01/11,13,Economic,System,WIND,65,165.0
21,01/11,14,Economic,Local,SOLR,7,
22,01/11,14,Economic,System,SOLR,3,8.0
23,01/11,14,Economic,System,WIND,4,45.0
24,01/11,15,Economic,System,SOLR,10,75.0
25,01/11,15,Economic,System,WIND,20,122.0
26,01/11,16,Economic,Local,SOLR,0,
27,01/11,16,Economic,System,SOLR,1,2.0
