,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,07/09,1,Economic,Local,WIND,0,2
1,07/09,9,Economic,Local,SOLR,29,262
2,07/09,9,Economic,Local,WIND,22,90
3,07/09,10,Economic,Local,SOLR,341,502
4,07/09,10,Economic,Local,WIND,68,167
5,07/09,11,Economic,Local,WIND,19,100
6,07/09,14,Economic,Local,WIND,58,119
7,07/09,15,Economic,Local,WIND,3,14
8,07/09,17,SelfSchCut,Local,SOLR,0,1
9,07/09,17,SelfSchCut,Local,SOLR,0,1
10,07/09,17,SelfSchCut,Local,SOLR,0,1
11,07/09,18,Economic,Local,WIND,9,89
12,07/09,24,Economic,Local,WIND,1,16
