,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,03/11,7,Economic,Local,SOLR,0.0,2.0
1,03/11,8,Economic,Local,SOLR,2.0,
2,03/11,8,Economic,System,SOLR,132.0,454.0
3,03/11,8,Economic,System,WIND,2.0,3.0
4,03/11,9,Economic,Local,SOLR,23.0,
5,03/11,9,Economic,Local,WIND,1.0,
6,03/11,9,Economic,System,SOLR,454.0,942.0
7,03/11,9,Economic,System,WIND,2.0,3.0
8,03/11,10,Economic,Local,SOLR,153.0,129.0
9,03/11,10,Economic,Local,WIND,1.0,1.0
10,03/11,10,Economic,System,SOLR,549.0,818.0
11,03/11,10,Economic,System,WIND,0.0,0.0
12,03/11,11,Economic,Local,SOLR,151.0,103.0
13,03/11,11,Economic,Local,WIND,2.0,1.0
14,03/11,11,Economic,System,SOLR,91.0,295.0
15,03/11,11,Economic,System,WIND,0.0,0.0
16,03/11,12,Economic,Local,SOLR,101.0,103.0
17,03/11,12,Economic,Local,WIND,5.0,4.0
18,03/11,12,Economic,System,SOLR,116.0,341.0
19,03/11,12,Economic,System,WIND,0.0,0.0
20,03/11,13,Economic,Local,SOLR,96.0,110.0
21,03/11,13,Economic,Local,WIND,3.0,4.0
22,03/11,13,Economic,System,SOLR,73.0,405.0
23,03/11,13,Economic,System,WIND,0.0,0.0
24,03/11,14,Economic,Local,SOLR,74.0,63.0
25,03/11,14,Economic,Local,WIND,2.0,0.0
26,03/11,14,Economic,System,SOLR,209.0,435.0
27,03/11,14,Economic,System,WIND,0.0,0.0
28,03/11,15,Economic,Local,SOLR,71.0,102.0
29,03/11,15,Economic,Local,WIND,0,0.0
30,03/11,15,Economic,System,SOLR,90,464.0
31,03/11,15,Economic,System,WIND,0,0.0
32,03/11,16,Economic,Local,SOLR,2,
33,03/11,16,Economic,System,SOLR,320,1302.0
34,03/11,16,Economic,System,WIND,22,88.0
35,03/11,16,SelfSchCut,System,SOLR,424,1785.0
36,03/11,16,SelfSchCut,System,WIND,74,284.0
37,03/11,17,Economic,Local,SOLR,6,
38,03/11,17,Economic,System,SOLR,83,365.0
39,03/11,17,Economic,System,WIND,7,19.0
40,03/11,18,Economic,Local,SOLR,0,4.0
41,03/11,24,Economic,System,WIND,0,1.0
