,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
1,05/08,8,ExDispatch,Local,SOLR,0.0,
2,05/08,8,ExDispatch,System,SOLR,0.0,3.0
3,05/08,9,Economic,Local,SOLR,2.0,4.0
4,05/08,9,ExDispatch,Local,SOLR,0.0,
5,05/08,9,ExDispatch,System,SOLR,0.0,0.0
6,05/08,10,Economic,Local,SOLR,7.0,5.0
7,05/08,10,Economic,System,SOLR,3.0,34.0
8,05/08,10,ExDispatch,Local,SOLR,0.0,
9,05/08,10,ExDispatch,System,SOLR,0.0,1.0
10,05/08,11,Economic,Local,SOLR,13.0,
11,05/08,11,Economic,System,SOLR,148.0,1565.0
12,05/08,11,Economic,System,WIND,1.0,18.0
13,05/08,11,ExDispatch,Local,SOLR,1.0,
14,05/08,11,ExDispatch,System,SOLR,2.0,1.0
15,05/08,11,SelfSchCut,Local,SOLR,0.0,
16,05/08,11,SelfSchCut,System,SOLR,61.0,735.0
17,05/08,11,SelfSchCut,System,WIND,8.0,91.0
18,05/08,12,Economic,Local,SOLR,9.0,6.0
19,05/08,12,Economic,System,SOLR,11.0,39.0
20,05/08,12,ExDispatch,Local,SOLR,3.0,
21,05/08,12,ExDispatch,System,SOLR,6.0,8.0
22,05/08,12,SelfSchCut,Local,SOLR,0.0,
23,05/08,13,Economic,Local,SOLR,6.0,6.0
24,05/08,13,Economic,System,SOLR,0.0,
25,05/08,13,ExDispatch,Local,SOLR,5.0,12.0
26,05/08,13,ExDispatch,System,SOLR,5.0,
27,05/08,14,Economic,Local,SOLR,6.0,6.0
28,05/08,14,ExDispatch,Local,SOLR,3.0,
29,05/08,14,ExDispatch,System,SOLR,4.0,9.0
30,05/08,15,Economic,Local,SOLR,3.0,2.0
31,05/08,15,Economic,System,SOLR,1.0,9.0
32,05/08,15,ExDispatch,Local,SOLR,1,
33,05/08,15,ExDispatch,System,SOLR,1,1.0
34,05/08,16,Economic,Local,SOLR,9,73.0
35,05/08,16,ExDispatch,Local,SOLR,1,1.0
36,05/08,16,ExDispatch,System,SOLR,0,
37,05/08,16,SelfSchCut,Local,SOLR,5,
38,05/08,17,Economic,Local,SOLR,0,0.0
39,05/08,17,ExDispatch,Local,SOLR,0,
40,05/08,17,ExDispatch,System,SOLR,0,1.0
41,05/08,17,SelfSchCut,Local,SOLR,6,8.0
42,05/08,18,Economic,Local,SOLR,0,
43,05/08,18,Economic,System,SOLR,0,3.0
44,05/08,19,Economic,System,SOLR,0,1.0
