,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,11/11,8,Economic,System,WIND,0,0.0
1,11/11,9,Economic,Local,SOLR,27,222.0
2,11/11,9,Economic,Local,WIND,0,1.0
3,11/11,9,Economic,System,SOLR,14,
4,11/11,9,Economic,System,WIND,0,
5,11/11,10,Economic,Local,WIND,0,
6,11/11,10,Economic,System,SOLR,2,18.0
7,11/11,10,Economic,System,WIND,0,1.0
8,11/11,12,Economic,Local,WIND,0,0.0
9,11/11,13,Economic,Local,SOLR,34,329.0
10,11/11,13,Economic,Local,WIND,0,0.0
11,11/11,14,Economic,Local,WIND,1,5.0
12,11/11,16,Economic,Local,WIND,0,1.0
13,11/11,16,SelfSchCut,Local,WIND,0,1.0
