,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,10/31,1,Economic,System,WIND,8.0,39.0
1,10/31,2,Economic,System,WIND,74.0,126.0
2,10/31,3,Economic,Local,WIND,37.0,183.0
3,10/31,3,Economic,System,WIND,44.0,
4,10/31,4,Economic,Local,WIND,0.0,
5,10/31,4,Economic,System,WIND,19.0,94.0
6,10/31,5,Economic,Local,WIND,30.0,63.0
7,10/31,6,Economic,Local,WIND,45.0,96.0
8,10/31,6,Economic,System,WIND,13.0,
9,10/31,7,Economic,Local,WIND,97.0,158.0
10,10/31,8,Economic,Local,SOLR,0.0,
11,10/31,8,Economic,Local,WIND,194.0,255.0
12,10/31,8,Economic,System,SOLR,0.0,0.0
13,10/31,8,Economic,System,WIND,0.0,
14,10/31,9,Economic,Local,SOLR,342.0,682.0
15,10/31,9,Economic,Local,WIND,207.0,174.0
16,10/31,9,Economic,System,SOLR,1.0,
17,10/31,9,Economic,System,WIND,72.0,219.0
18,10/31,9,SelfSchCut,Local,SOLR,9.0,
19,10/31,10,Economic,Local,SOLR,408.0,810.0
20,10/31,10,Economic,Local,WIND,205.0,216.0
21,10/31,10,Economic,System,SOLR,2.0,
22,10/31,10,Economic,System,WIND,22.0,21.0
23,10/31,11,Economic,Local,SOLR,160.0,313.0
24,10/31,11,Economic,Local,WIND,232.0,242.0
25,10/31,11,Economic,System,SOLR,0.0,
26,10/31,11,Economic,System,WIND,15.0,
27,10/31,12,Economic,Local,SOLR,723.0,1345.0
28,10/31,12,Economic,Local,WIND,244.0,243.0
29,10/31,13,Economic,Local,SOLR,459,829.0
30,10/31,13,Economic,Local,WIND,234,250.0
31,10/31,13,Economic,System,WIND,14,50.0
32,10/31,14,Economic,Local,SOLR,937,1015.0
33,10/31,14,Economic,Local,WIND,253,283.0
34,10/31,14,Economic,System,WIND,45,49.0
35,10/31,15,Economic,Local,SOLR,870,972.0
36,10/31,15,Economic,Local,WIND,249,251.0
37,10/31,15,Economic,System,WIND,20,42.0
38,10/31,16,Economic,Local,SOLR,503,679.0
39,10/31,16,Economic,Local,WIND,265,268.0
40,10/31,16,Economic,System,WIND,3,
41,10/31,17,Economic,Local,SOLR,7,74.0
42,10/31,17,Economic,Local,WIND,208,247.0
43,10/31,17,Economic,System,SOLR,3,
44,10/31,17,Economic,System,WIND,6,
45,10/31,18,Economic,Local,WIND,200,200.0
46,10/31,18,Economic,System,SOLR,2,5.0
47,10/31,19,Economic,Local,WIND,200,200.0
48,10/31,20,Economic,Local,WIND,173,265.0
49,10/31,21,Economic,Local,WIND,196,202.0
50,10/31,22,Economic,Local,WIND,198,219.0
51,10/31,23,Economic,Local,WIND,122,198.0
52,10/31,24,Economic,Local,WIND,71,98.0
53,10/31,24,Economic,System,WIND,2,
