,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,09/17,9,Economic,Local,SOLR,396,995.0
1,09/17,9,Economic,Local,WIND,6,
2,09/17,9,Economic,System,SOLR,1,
3,09/17,10,Economic,Local,SOLR,823,967.0
4,09/17,10,Economic,Local,WIND,1,0.0
5,09/17,11,Economic,Local,SOLR,724,858.0
6,09/17,11,Economic,Local,WIND,0,0.0
7,09/17,11,Economic,System,SOLR,1,8.0
8,09/17,12,Economic,Local,SOLR,723,949.0
9,09/17,12,Economic,Local,WIND,30,20.0
10,09/17,12,Economic,System,SOLR,3,
11,09/17,13,Economic,Local,SOLR,203,514.0
12,09/17,13,Economic,Local,WIND,11,31.0
13,09/17,13,Economic,System,SOLR,1,
14,09/17,14,Economic,Local,SOLR,2,13.0
15,09/17,14,Economic,Local,WIND,0,
16,09/17,21,Economic,Local,WIND,116,276.0
17,09/17,22,Economic,Local,WIND,193,200.0
18,09/17,23,Economic,Local,WIND,205,236.0
19,09/17,24,Economic,Local,WIND,183,200.0
20,09/17,24,Economic,Local,WIND,183,200.0
21,09/17,24,Economic,Local,WIND,183,200.0
22,09/17,24,Economic,Local,WIND,183,200.0
23,09/17,24,Economic,Local,WIND,183,200.0
24,09/17,24,Economic,Local,WIND,183,200.0
25,09/17,24,Economic,Local,WIND,183,200.0
26,09/17,24,Economic,Local,WIND,183,200.0
27,09/17,24,Economic,Local,WIND,183,200.0
28,09/17,24,Economic,Local,WIND,183,200.0
29,09/17,24,Economic,Local,WIND,183,200.0
