,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,06/30,1,Economic,Local,WIND,3,17
1,06/30,2,Economic,Local,WIND,0,4
2,06/30,7,Economic,Local,WIND,1,15
3,06/30,11,Economic,Local,WIND,20,69
4,06/30,14,Economic,Local,WIND,13,58
0,07/01,1,Economic,System,WIND,5,61.0
1,07/01,7,Economic,Local,WIND,3,34.0
2,07/01,9,SelfSchCut,Local,SOLR,26,54.0
3,07/01,10,Economic,Local,SOLR,9,16.0
4,07/01,10,Economic,Local,WIND,4,23.0
5,07/01,10,ExDispatch,Local,SOLR,8,57.0
6,07/01,10,SelfSchCut,Local,SOLR,6,7.0
7,07/01,11,Economic,Local,SOLR,16,12.0
8,07/01,11,Economic,Local,WIND,3,23.0
9,07/01,11,ExDispatch,Local,SOLR,64,67.0
10,07/01,11,SelfSchCut,Local,SOLR,2,
11,07/01,12,Economic,Local,SOLR,5,
12,07/01,12,ExDispatch,Local,SOLR,30,
13,07/01,12,ExDispatch,System,SOLR,28,73.0
14,07/01,13,ExDispatch,Local,SOLR,61,
15,07/01,13,ExDispatch,System,SOLR,19,113.0
16,07/01,14,ExDispatch,System,SOLR,110,111.0
17,07/01,15,ExDispatch,Local,SOLR,27,109.0
18,07/01,15,ExDispatch,System,SOLR,45,
19,07/01,15,SelfSchCut,Local,SOLR,2,10.0
0,07/02,8,Economic,Local,WIND,6,26
1,07/02,9,Economic,Local,WIND,19,70
2,07/02,22,Economic,Local,WIND,1,8
0,07/03,1,Economic,Local,WIND,1,7
1,07/03,8,Economic,System,SOLR,21,251
2,07/03,8,Economic,System,WIND,0,0
3,07/03,9,Economic,Local,WIND,2,9
4,07/03,9,Economic,System,SOLR,11,61
5,07/03,10,Economic,System,SOLR,22,140
6,07/03,12,Economic,System,WIND,2,8
0,07/04,4,Economic,Local,WIND,11,43
1,07/04,5,Economic,Local,WIND,7,55
2,07/04,7,Economic,Local,WIND,5,27
3,07/04,8,Economic,System,SOLR,214,679
4,07/04,8,Economic,System,WIND,27,62
5,07/04,9,Economic,System,SOLR,685,820
6,07/04,9,Economic,System,WIND,10,0
7,07/04,10,Economic,System,SOLR,46,341
8,07/04,10,Economic,System,WIND,3,41
9,07/04,20,Economic,Local,WIND,2,15
10,07/04,22,Economic,Local,WIND,1,7
11,07/04,23,Economic,Local,WIND,14,26
0,07/05,1,Economic,System,WIND,0,2.0
1,07/05,2,Economic,Local,WIND,11,60.0
2,07/05,2,Economic,System,WIND,47,136.0
3,07/05,3,Economic,Local,WIND,13,
4,07/05,3,Economic,System,WIND,4,47.0
5,07/05,4,Economic,Local,WIND,7,
6,07/05,4,Economic,System,WIND,16,116.0
7,07/05,5,Economic,System,WIND,36,137.0
8,07/05,7,Economic,Local,WIND,27,63.0
9,07/05,9,Economic,Local,WIND,1,7.0
10,07/05,12,Economic,System,SOLR,53,112.0
11,07/05,14,Economic,Local,WIND,1,15.0
12,07/05,21,SelfSchCut,Local,WIND,28,118.0
13,07/05,22,Economic,Local,WIND,0,
14,07/05,22,SelfSchCut,Local,WIND,10,37.0
15,07/05,23,SelfSchCut,Local,WIND,18,51.0
0,07/06,7,Economic,Local,SOLR,1,11.0
1,07/06,7,Economic,Local,WIND,26,89.0
2,07/06,8,Economic,Local,SOLR,209,458.0
3,07/06,8,SelfSchCut,Local,WIND,1,
4,07/06,9,Economic,Local,SOLR,125,408.0
0,07/07,7,Economic,Local,WIND,2,27
1,07/07,14,Economic,Local,WIND,2,11
2,07/07,24,Economic,Local,WIND,2,10
0,07/08,7,Economic,Local,WIND,1,8
1,07/08,11,Economic,Local,WIND,1,13
2,07/08,17,Economic,Local,WIND,42,75
3,07/08,18,Economic,Local,WIND,58,88
4,07/08,19,Economic,Local,WIND,108,125
5,07/08,20,Economic,Local,WIND,82,121
6,07/08,21,Economic,Local,WIND,29,119
7,07/08,22,Economic,Local,WIND,67,94
8,07/08,23,Economic,Local,WIND,17,45
0,07/09,1,Economic,Local,WIND,0,2
1,07/09,9,Economic,Local,SOLR,29,262
2,07/09,9,Economic,Local,WIND,22,90
3,07/09,10,Economic,Local,SOLR,341,502
4,07/09,10,Economic,Local,WIND,68,167
5,07/09,11,Economic,Local,WIND,19,100
6,07/09,14,Economic,Local,WIND,58,119
7,07/09,15,Economic,Local,WIND,3,14
8,07/09,17,SelfSchCut,Local,SOLR,0,1
9,07/09,17,SelfSchCut,Local,SOLR,0,1
10,07/09,17,SelfSchCut,Local,SOLR,0,1
11,07/09,18,Economic,Local,WIND,9,89
12,07/09,24,Economic,Local,WIND,1,16
0,07/10,1,Economic,Local,WIND,0,1.0
1,07/10,9,Economic,Local,SOLR,21,
2,07/10,9,Economic,Local,WIND,9,
3,07/10,9,Economic,System,SOLR,123,327.0
4,07/10,9,Economic,System,WIND,13,89.0
5,07/10,10,Economic,Local,SOLR,290,404.0
6,07/10,10,Economic,Local,WIND,24,107.0
7,07/10,11,Economic,Local,SOLR,48,219.0
8,07/10,11,Economic,Local,WIND,52,92.0
9,07/10,11,Economic,System,WIND,3,
10,07/10,23,Economic,Local,WIND,0,5.0
0,07/11,7,Economic,Local,WIND,2,19.0
1,07/11,8,Economic,Local,SOLR,24,140.0
2,07/11,8,Economic,Local,WIND,1,
